"measure","ethnicity","ethnicity_type","time","time_type","geography","geography_type","gender","age","value","value_type","numerator","denominator"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2006","Year","England","Country","All","18","22.8","%","129590","568150"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2007","Year","England","Country","All","18","23.3","%","131010","563130"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2008","Year","England","Country","All","18","24.5","%","141790","578340"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2009","Year","England","Country","All","18","25.2","%","147990","587730"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2010","Year","England","Country","All","18","25.3","%","149100","589270"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2011","Year","England","Country","All","18","27.1","%","155020","571650"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2012","Year","England","Country","All","18","26.1","%","149230","572480"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2013","Year","England","Country","All","18","27.8","%","156360","562750"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2014","Year","England","Country","All","18","29.1","%","161970","557260"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2015","Year","England","Country","All","18","30","%","170350","567500"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2016","Year","England","Country","All","18","31.1","%","173620","558520"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2017","Year","England","Country","All","18","31.8","%","175660","552730"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2018","Year","England","Country","All","18","32.2","%","174130","540540"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2019","Year","England","Country","All","18","33.6","%","177160","526540"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2020","Year","England","Country","All","18","36.3","%","189630","522820"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2021","Year","England","Country","All","18","37.3","%","201630","540970"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2022","Year","England","Country","All","18","36.4","%","203120","557380"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2006","Year","England","Country","Female","18","25.8","%","72440","280760"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2007","Year","England","Country","Female","18","26.4","%","73490","277890"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2008","Year","England","Country","Female","18","28.3","%","80420","284340"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2009","Year","England","Country","Female","18","28.8","%","83330","289490"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2010","Year","England","Country","Female","18","28.7","%","83020","288950"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2011","Year","England","Country","Female","18","30.7","%","86180","280500"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2012","Year","England","Country","Female","18","29.8","%","83730","280520"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2013","Year","England","Country","Female","18","31.7","%","87540","275730"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2014","Year","England","Country","Female","18","33.2","%","90560","272480"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2015","Year","England","Country","Female","18","34.8","%","96850","278310"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2016","Year","England","Country","Female","18","36.1","%","98420","272930"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2017","Year","England","Country","Female","18","37","%","99760","269750"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2018","Year","England","Country","Female","18","37.6","%","99340","264030"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2019","Year","England","Country","Female","18","39.2","%","100970","257640"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2020","Year","England","Country","Female","18","42.5","%","108460","255050"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2021","Year","England","Country","Female","18","43.6","%","115100","263970"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2022","Year","England","Country","Female","18","42.6","%","115840","272220"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2006","Year","England","Country","Male","18","19.9","%","57160","287390"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2007","Year","England","Country","Male","18","20.2","%","57520","285240"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2008","Year","England","Country","Male","18","20.9","%","61360","294010"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2009","Year","England","Country","Male","18","21.7","%","64660","298240"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2010","Year","England","Country","Male","18","22","%","66070","300320"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2011","Year","England","Country","Male","18","23.6","%","68840","291150"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2012","Year","England","Country","Male","18","22.4","%","65500","291960"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2013","Year","England","Country","Male","18","24","%","68830","287020"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2014","Year","England","Country","Male","18","25.1","%","71410","284780"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2015","Year","England","Country","Male","18","25.4","%","73500","289190"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2016","Year","England","Country","Male","18","26.3","%","75200","285590"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2017","Year","England","Country","Male","18","26.8","%","75890","282980"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2018","Year","England","Country","Male","18","27.1","%","74800","276510"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2019","Year","England","Country","Male","18","28.3","%","76190","268900"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2020","Year","England","Country","Male","18","30.3","%","81170","267770"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2021","Year","England","Country","Male","18","31.2","%","86540","277000"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2022","Year","England","Country","Male","18","30.6","%","87280","285160"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2006","Year","England","Country","All","18","34.5","%","12560","36420"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2007","Year","England","Country","All","18","34.6","%","12240","35410"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2008","Year","England","Country","All","18","35.7","%","13360","37400"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2009","Year","England","Country","All","18","36.1","%","13800","38200"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2010","Year","England","Country","All","18","35","%","14070","40210"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2011","Year","England","Country","All","18","37","%","15210","41060"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2012","Year","England","Country","All","18","36.1","%","15220","42220"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2013","Year","England","Country","All","18","38.6","%","16650","43080"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2014","Year","England","Country","All","18","39.8","%","17740","44520"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2015","Year","England","Country","All","18","42.3","%","19720","46640"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2016","Year","England","Country","All","18","44.1","%","21210","48060"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2017","Year","England","Country","All","18","45.8","%","22610","49390"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2018","Year","England","Country","All","18","46.7","%","23850","51130"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2019","Year","England","Country","All","18","50.3","%","26530","52740"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2020","Year","England","Country","All","18","53.1","%","29600","55720"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2021","Year","England","Country","All","18","54.9","%","31930","58140"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2022","Year","England","Country","All","18","53.9","%","32810","60920"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2006","Year","England","Country","Female","18","39.1","%","6970","17810"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2007","Year","England","Country","Female","18","39.8","%","6830","17150"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2008","Year","England","Country","Female","18","40.9","%","7370","18020"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2009","Year","England","Country","Female","18","41.4","%","7700","18590"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2010","Year","England","Country","Female","18","40.3","%","7800","19350"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2011","Year","England","Country","Female","18","42.1","%","8400","19930"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2012","Year","England","Country","Female","18","41","%","8320","20280"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2013","Year","England","Country","Female","18","43.8","%","9030","20640"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2014","Year","England","Country","Female","18","44.9","%","9630","21420"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2015","Year","England","Country","Female","18","47.8","%","10860","22730"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2016","Year","England","Country","Female","18","50.1","%","11580","23140"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2017","Year","England","Country","Female","18","51.7","%","12260","23730"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2018","Year","England","Country","Female","18","52.4","%","12860","24550"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2019","Year","England","Country","Female","18","56.6","%","14480","25570"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2020","Year","England","Country","Female","18","59.8","%","16160","27050"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2021","Year","England","Country","Female","18","61.6","%","17250","27980"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2022","Year","England","Country","Female","18","59.8","%","17830","29790"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2006","Year","England","Country","Male","18","30","%","5590","18620"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2007","Year","England","Country","Male","18","29.6","%","5410","18260"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2008","Year","England","Country","Male","18","30.9","%","5990","19380"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2009","Year","England","Country","Male","18","31.1","%","6100","19610"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2010","Year","England","Country","Male","18","30.1","%","6270","20870"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2011","Year","England","Country","Male","18","32.2","%","6810","21130"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2012","Year","England","Country","Male","18","31.5","%","6910","21940"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2013","Year","England","Country","Male","18","34","%","7620","22440"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2014","Year","England","Country","Male","18","35.1","%","8110","23100"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2015","Year","England","Country","Male","18","37.1","%","8860","23910"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2016","Year","England","Country","Male","18","38.6","%","9630","24920"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2017","Year","England","Country","Male","18","40.3","%","10350","25660"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2018","Year","England","Country","Male","18","41.4","%","11000","26580"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2019","Year","England","Country","Male","18","44.4","%","12050","27170"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2020","Year","England","Country","Male","18","46.9","%","13440","28670"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2021","Year","England","Country","Male","18","48.7","%","14680","30160"
"Percentage of 18-year-old state school pupils getting a higher education place","Asian","ONS 2001 5+1","2022","Year","England","Country","Male","18","48.1","%","14990","31130"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2006","Year","England","Country","All","18","53.6","%","1150","2150"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2007","Year","England","Country","All","18","52.8","%","1220","2300"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2008","Year","England","Country","All","18","52","%","1140","2190"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2009","Year","England","Country","All","18","52.6","%","1120","2130"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2010","Year","England","Country","All","18","52.6","%","1180","2240"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2011","Year","England","Country","All","18","60.1","%","1300","2160"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2012","Year","England","Country","All","18","57.1","%","1210","2110"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2013","Year","England","Country","All","18","57.4","%","1260","2190"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2014","Year","England","Country","All","18","59.3","%","1320","2230"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2015","Year","England","Country","All","18","61","%","1330","2170"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2016","Year","England","Country","All","18","60.9","%","1240","2040"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2017","Year","England","Country","All","18","63","%","1230","1960"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2018","Year","England","Country","All","18","66.2","%","1270","1920"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2019","Year","England","Country","All","18","68","%","1320","1940"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2020","Year","England","Country","All","18","71.7","%","1290","1800"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2021","Year","England","Country","All","18","72.1","%","1410","1960"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2022","Year","England","Country","All","18","70.7","%","1360","1930"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2006","Year","England","Country","Female","18","57.9","%","600","1040"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2007","Year","England","Country","Female","18","55.6","%","630","1130"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2008","Year","England","Country","Female","18","56.9","%","610","1070"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2009","Year","England","Country","Female","18","53.8","%","580","1070"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2010","Year","England","Country","Female","18","55.5","%","620","1110"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2011","Year","England","Country","Female","18","64.8","%","670","1040"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2012","Year","England","Country","Female","18","60.7","%","640","1050"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2013","Year","England","Country","Female","18","59.2","%","640","1080"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2014","Year","England","Country","Female","18","61.8","%","710","1150"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2015","Year","England","Country","Female","18","63.6","%","690","1080"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2016","Year","England","Country","Female","18","66.2","%","680","1030"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2017","Year","England","Country","Female","18","66.6","%","640","960"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2018","Year","England","Country","Female","18","69.2","%","660","950"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2019","Year","England","Country","Female","18","70.6","%","660","930"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2020","Year","England","Country","Female","18","73.9","%","700","940"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2021","Year","England","Country","Female","18","74.4","%","730","980"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2022","Year","England","Country","Female","18","74.1","%","730","990"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2006","Year","England","Country","Male","18","49.5","%","550","1110"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2007","Year","England","Country","Male","18","50.1","%","590","1170"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2008","Year","England","Country","Male","18","47.4","%","530","1120"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2009","Year","England","Country","Male","18","51.4","%","550","1060"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2010","Year","England","Country","Male","18","49.7","%","560","1130"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2011","Year","England","Country","Male","18","55.7","%","620","1120"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2012","Year","England","Country","Male","18","53.5","%","570","1060"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2013","Year","England","Country","Male","18","55.5","%","610","1100"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2014","Year","England","Country","Male","18","56.5","%","610","1080"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2015","Year","England","Country","Male","18","58.4","%","640","1100"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2016","Year","England","Country","Male","18","55.4","%","560","1010"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2017","Year","England","Country","Male","18","59.6","%","590","1000"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2018","Year","England","Country","Male","18","63.3","%","620","970"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2019","Year","England","Country","Male","18","65.5","%","670","1020"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2020","Year","England","Country","Male","18","69.3","%","590","860"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2021","Year","England","Country","Male","18","69.8","%","680","980"
"Percentage of 18-year-old state school pupils getting a higher education place","Chinese","ONS 2001 5+1","2022","Year","England","Country","Male","18","67.3","%","630","940"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2006","Year","England","Country","All","18","21.6","%","4280","19840"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2007","Year","England","Country","All","18","23.1","%","4730","20480"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2008","Year","England","Country","All","18","25.7","%","5580","21680"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2009","Year","England","Country","All","18","27","%","5970","22120"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2010","Year","England","Country","All","18","28.4","%","6410","22580"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2011","Year","England","Country","All","18","31.7","%","7460","23550"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2012","Year","England","Country","All","18","31.4","%","7590","24200"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2013","Year","England","Country","All","18","34.7","%","8870","25560"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2014","Year","England","Country","All","18","36","%","9430","26190"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2015","Year","England","Country","All","18","38.4","%","10570","27500"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2016","Year","England","Country","All","18","39.1","%","10660","27230"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2017","Year","England","Country","All","18","40.3","%","11060","27410"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2018","Year","England","Country","All","18","41.1","%","11570","28110"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2019","Year","England","Country","All","18","44.5","%","12520","28140"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2020","Year","England","Country","All","18","47.5","%","13870","29210"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2021","Year","England","Country","All","18","48.6","%","15260","31400"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2022","Year","England","Country","All","18","50.6","%","16750","33120"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2006","Year","England","Country","Female","18","27.2","%","2740","10080"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2007","Year","England","Country","Female","18","28.7","%","3010","10510"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2008","Year","England","Country","Female","18","32.2","%","3510","10920"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2009","Year","England","Country","Female","18","33.2","%","3710","11160"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2010","Year","England","Country","Female","18","34.1","%","3930","11500"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2011","Year","England","Country","Female","18","37.8","%","4520","11960"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2012","Year","England","Country","Female","18","37.9","%","4640","12230"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2013","Year","England","Country","Female","18","40.9","%","5280","12910"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2014","Year","England","Country","Female","18","42.3","%","5510","13040"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2015","Year","England","Country","Female","18","45.3","%","6240","13770"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2016","Year","England","Country","Female","18","46.1","%","6300","13650"
"Percentage of 18-year-old state school pupils getting a higher education place","Black","ONS 2001 5+1","2017","Year","England","Country","Female","18","48.6","%","6630","13650"
