State,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,2004¡V,
Alabama,9,9,9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,'72,'84,'92,'04,'12
Alaska,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,'76,'88,'96,'08,'16
Arizona,6,6,7,7,8,8,8,10,10,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,'80,,'00,,'20
Arkansas,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,45,45,47,47,54,54,54,55,55,55,55,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,7,7,8,8,8,8,8,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,8,8,8,8,8,8,8,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9
Florida,17,17,21,21,25,25,25,27,27,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3
Georgia,12,12,12,12,13,13,13,15,15,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,6,7,8,10,11
Hawaii,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6
Idaho,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,45,47,54,55,55
Illinois,26,26,24,24,22,22,22,21,21,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,7,8,8,9,9
Indiana,13,13,12,12,12,12,12,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,7,7
Iowa,8,8,8,8,7,7,7,7,7,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3
Kansas,7,7,7,7,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3
Kentucky,9,9,9,9,8,8,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,17,21,25,27,29
Louisiana,10,10,10,10,9,9,9,9,9,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,12,12,13,15,16
Maine,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4
Maryland,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4
Massachusetts,14,14,13,13,12,12,12,12,12,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,26,24,22,21,20
Michigan,21,21,20,20,18,18,18,17,17,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,13,12,12,11,11
Minnesota,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,8,8,7,7,6
Mississippi,7,7,7,7,7,7,7,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,7,7,6,6,6
Missouri,12,12,11,11,11,11,11,11,11,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,9,9,8,8,8
Montana,4,4,4,4,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,10,10,9,9,8
Nebraska,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4
Nevada,3,3,4,4,4,4,4,5,5,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10
New Hampshire,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,14,13,12,12,11
New Jersey,17,17,16,16,15,15,15,15,15,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,21,20,18,17,16
New Mexico,4,4,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10
New York,41,41,36,36,33,33,33,31,31,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,6,6
North Carolina,13,13,13,13,14,14,14,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,12,11,11,11,10
North Dakota,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,3,3
Ohio,25,25,23,23,21,21,21,20,20,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5
Oklahoma,8,8,8,8,8,8,8,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,5,6
Oregon,6,6,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4
Pennsylvania,27,27,25,25,23,23,23,21,21,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,17,16,15,15,14
Rhode Island,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,5
South Carolina,8,8,8,8,8,8,8,8,8,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,41,36,33,31,29
South Dakota,4,4,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,13,13,14,15,15
Tennessee,10,10,11,11,11,11,11,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3
Texas,26,26,29,29,32,32,32,34,34,38,38,38,,,,,,,,,,,,,,,,,,,,,,,,25,23,21,20,18
Utah,4,4,5,5,5,5,5,5,5,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,7,7
Vermont,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,6,7,7,7,7
Virginia,12,12,12,12,13,13,13,13,13,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,27,25,23,21,20
Washington,9,9,10,10,11,11,11,11,11,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4
West Virginia,6,6,6,6,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,9
Wisconsin,11,11,11,11,11,11,11,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,3,3
Wyoming,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,10,11,11,11,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,29,32,34,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,13,13,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,11,11,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,5,5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,10,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3
