year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1976,0.5666672397785496,0.38108171226419174,0.41386696983103816,0.6504885147819915,0.49082172693181797,0.4409245616838536,0.4738998329378652,0.527301380893124,0.8317772238685264,0.526802018720792,0.6693829485931742,0.5128263123829938,0.38267009374055033,0.4899716625636061,0.46151222192305175,0.4948383414684765,0.4612445923746186,0.5365402864664347,0.5295957514788067,0.49568821102904614,0.5303541992343639,0.5811462217110593,0.4725622595013001,0.566419819719711,0.509678885287533,0.5184190712575877,0.46215653854013783,0.39373548552603155,0.4773060407118378,0.44260747047185084,0.48899331526049294,0.4875523248345117,0.534451946087019,0.5555329249846495,0.4696198949482679,0.5011635459664862,0.49384779483374297,0.4991282682307967,0.513571390921736,0.5567237731880602,0.565661090449159,0.4925696563319523,0.5657294458053167,0.5159850322837711,0.35019941617405553,0.43661363189943037,0.4931358114453634,0.47979706432204833,0.5806951864533234,0.5086164366749967,0.40165595394821757
1980,0.49323661692960535,0.32700814355158886,0.3178791316766491,0.4968029405707653,0.4053337544079053,0.36069659787135405,0.4444280367728735,0.48733214749822584,0.8481673005783359,0.4094923705280309,0.5766239969245167,0.510840592350869,0.2748677321266878,0.45660337617889035,0.4020267132985023,0.42936849728791643,0.3652451056147966,0.4928725439873041,0.4718911401140074,0.4809051656597664,0.516191380662185,0.49909326983143676,0.46453589103201587,0.5221361455718679,0.4932166779645438,0.4643458565855658,0.36334755545704733,0.2841755487178086,0.3007267133699923,0.3293230762715197,0.4259085548536872,0.4009173325688895,0.5084486380354196,0.4890031737025543,0.2901929024787089,0.4426451498992538,0.366278667196309,0.44447406156426383,0.46138364132883364,0.5616605547453524,0.4936270672982154,0.3436654114190034,0.4985007753951459,0.4283265920618454,0.22034814957984086,0.4641069203760335,0.4318413947087553,0.429046539051112,0.5236978172012975,0.4740969142143971,0.3086737402187014
1984,0.38736604648681733,0.30944087352283617,0.3288327242999399,0.3877241189805592,0.41775465177802334,0.356342301643494,0.39000831236981964,0.40046327300804424,0.8614773394710076,0.34667586786454524,0.398021798518602,0.442962757823506,0.2672442880258501,0.4352674669277925,0.37926570878316285,0.4627617466997986,0.3297052288843034,0.39635817610548024,0.3858083883745785,0.38930882099398384,0.4724247280785537,0.48601669762740624,0.40453675001831424,0.5009089076819495,0.3768496494105839,0.39975249332122964,0.38698601236313,0.28995246326707,0.3268431844521708,0.31065547745594313,0.39478608918503655,0.39650401870811797,0.47058282129711104,0.3797213705011314,0.3426541761685233,0.40529316280931676,0.3089017415230104,0.43895288660662635,0.4629926852287835,0.48170269755074707,0.3588122058587622,0.3670048675643214,0.4181815190554701,0.36213694826986587,0.24879978990318252,0.41335089272220904,0.3732431206078015,0.4315364898363371,0.44727565675401576,0.45377984290378265,0.28599600237928097
1988,0.40254431601911095,0.37836682565746604,0.39256508469007495,0.42808357286884896,0.4819268946362411,0.4604617561850285,0.4741884954356701,0.4375881040413072,0.8524575260565678,0.38747928354148414,0.3979638365523965,0.5480627598015892,0.3671217714936695,0.4895072300364114,0.3987400887506799,0.5514848114008251,0.4327249829781352,0.44146232188211454,0.4480870767605027,0.4422898129653169,0.48535569768882997,0.5398258893318696,0.46021950039944864,0.5355085992524404,0.39478917044817213,0.4800308831902278,0.4701181027861572,0.39445914505828594,0.39181410835414343,0.3676636727286612,0.43098842386464825,0.4749008425951464,0.5342205263918793,0.4184246213144999,0.4340464427213233,0.4452593534974925,0.41610187727558334,0.5238368079759795,0.4883045300466226,0.5587787055331063,0.37927854435581687,0.468076211914141,0.4178135949802923,0.43653667068862734,0.32612125168099276,0.48218286923275555,0.3964105394241759,0.5080771175458582,0.5237689319762058,0.5182346629456104,0.38575123577422693
1992,0.46178873540097015,0.4342573796132983,0.48698096016988063,0.5999226706612252,0.5851672876937908,0.5280206552282498,0.5412511670742668,0.5519799270472528,0.9029706961939273,0.48803158910419014,0.5034212845109663,0.567199777308213,0.40338516978843425,0.585882182122468,0.4616510546606123,0.5373252911356213,0.4645894441238242,0.5186877769476606,0.5266513786041565,0.5605587286454831,0.5829990003921766,0.6209222867120157,0.5461515964697112,0.5772134022448636,0.45071510532615805,0.5650696610031356,0.517240571248753,0.3868826956766844,0.5182477751961773,0.507965513554495,0.5142031835209345,0.5514215676975641,0.6211082540422493,0.49541535720813284,0.42125295227091225,0.5116816334695452,0.4437788169738132,0.5663389151659282,0.5554852946101531,0.6184372281820818,0.4764315457275972,0.4773896623166135,0.5259803664707596,0.47757836834114503,0.3624642088601967,0.6025420135850691,0.4744498706585656,0.5759170107251123,0.5776883808194074,0.5279450850211544,0.46207976570603426
1996,0.46266128846311055,0.3957149749416618,0.5122377115185426,0.5935282486475548,0.5721626523096894,0.4924079236977256,0.6036350688231273,0.5862365663256995,0.9012354820886426,0.5315496119510641,0.4936773080144583,0.6427615180824882,0.3920097242428407,0.5960509218545778,0.46851593644954354,0.5573338892373273,0.39927634452015853,0.5052905118434284,0.5656083827159214,0.6266212041685532,0.5863842348627238,0.6863782540541509,0.5732441336669677,0.5938068927137576,0.472527762454129,0.5354703747642815,0.48312589549275836,0.39445177499216966,0.5058653135524703,0.5561163171068921,0.599667932033127,0.5402413056103159,0.677320293812358,0.4747001333026536,0.4608868099415835,0.5359694918172054,0.4559939089329422,0.5469311571965823,0.5516120536083254,0.690042133874984,0.46888024078014545,0.48066414604865526,0.5128664234186056,0.4733937661787773,0.3798051218074387,0.6318283038406202,0.4893940549293311,0.5719465284478128,0.5835466517610786,0.5591919666145019,0.42512082565104026
2000,0.42393058078668905,0.3206305143627081,0.46717400832860145,0.47199310489579194,0.5620298999907178,0.45514080056720974,0.5925565804885452,0.5674006478528845,0.9048769447777848,0.49995390591966443,0.4401624637709734,0.5982729628042934,0.29151509544255994,0.5618001031583959,0.41995217467418067,0.5016277918751817,0.39083092536471914,0.42272384734323426,0.4606075403365277,0.5274784154100042,0.584322989424543,0.6478934376063381,0.5263460648173409,0.5128641197581132,0.4139451516075371,0.48288051343249333,0.3634363802133028,0.34820519137914974,0.4814316150032757,0.49332199804781196,0.5821140941672093,0.5003192602930914,0.6357599158301068,0.4353600301849695,0.3527260342938372,0.4816127777933392,0.38919328777881085,0.5023589198553057,0.5214847871680315,0.6564911606759932,0.4183789393234974,0.38385287427626136,0.48037133214820993,0.3904372985143706,0.2827449456867586,0.554403508967734,0.4585276369416675,0.5294477100940541,0.46757925984062587,0.5011506830315781,0.2901769435968296
2004,0.3710222864771775,0.3677371701875368,0.4472499496951174,0.4506425174833222,0.5504132045282245,0.47633770441757367,0.5527494756058412,0.5383150624509161,0.9052027864743607,0.47476320424331214,0.4164576730359044,0.5440444800293027,0.306772618166357,0.5520863404955345,0.3957652375034154,0.49663320737287087,0.3713290121891777,0.39992380084526075,0.4266905873075651,0.545830164103086,0.565655842075012,0.6274285551299189,0.5172584446796521,0.5176091061066895,0.40494999230378637,0.4638028733456015,0.39499923824336647,0.331526627404053,0.486824042751385,0.5069028862013731,0.5337053631884221,0.49599664113645114,0.5982979065644611,0.4375802799815888,0.36090645850056713,0.4894125599521079,0.3442959833524394,0.5210862577445008,0.5125828209706239,0.6057751057587814,0.4136354174025079,0.39086709198906316,0.4281455454525927,0.38489808102890083,0.2665356083987796,0.6030100213925116,0.4586630328646994,0.5364653768345296,0.43520289370254517,0.5019180327426924,0.29687296826828297
2008,0.39109097246427327,0.389352150834029,0.4568609928038368,0.3982827938928274,0.622784495915854,0.5455063469317343,0.6131833824975418,0.6263813864988855,0.9340076833341566,0.514196600308993,0.47371664489188214,0.7299372587845542,0.3697541019497945,0.6273426404455936,0.5052195344537809,0.5484877778946735,0.42387724181090564,0.4176657241229539,0.40542825838414637,0.588295249834076,0.6293008729288553,0.6319707821335295,0.5837130157615452,0.5522937499539273,0.43358069007136163,0.4993242085032335,0.4883059671605927,0.4239092557783436,0.563867381251961,0.548685411201095,0.5786462987142394,0.5766490001879759,0.6576385737978426,0.5016596330006732,0.4559134371803188,0.5233384076225412,0.343549188773065,0.5841372117722718,0.5522970381548445,0.6419813750914577,0.4545557081079087,0.45704292765884624,0.4236852819764554,0.4406406324905928,0.35473638627259935,0.688991817393381,0.5318258440612755,0.5875202680210895,0.4332625623286275,0.5705567824781841,0.3343797664490409
2012,0.38783771466562295,0.4268470951843963,0.4538661977629681,0.3784559464877038,0.6187281116329663,0.5274798831420252,0.587725774769071,0.5944695491927816,0.9258764920211752,0.5044225213936623,0.46043350901943275,0.7170384850107442,0.3357861315642467,0.585775233921169,0.447996254026727,0.5295935192810017,0.38886673254746945,0.38457227606195094,0.4125317438588602,0.5785992139357711,0.6332172578690598,0.6178568074906001,0.5480053207117788,0.5394122646169819,0.4419810080121222,0.45221333246620027,0.42965768136118543,0.38870609731774636,0.5340754216334653,0.528337519782581,0.5895196555058577,0.5529520464690869,0.6604269487027739,0.48965965096995,0.39888791711088273,0.5151405676924949,0.3322768025698344,0.5627116717874738,0.5273193400189182,0.6401674597888212,0.44691745295434626,0.4078150086180476,0.3964892847370595,0.41992102784893615,0.2537381110485252,0.6824725882639062,0.5196737668876448,0.5762829827062185,0.36325702367957263,0.5346342998287241,0.2883936598847857
2016,0.3562585640603926,0.4161434528893193,0.4810997659896054,0.35714862310229534,0.6612822054272989,0.5268333337268244,0.5714154751726364,0.5599862144368122,0.9569518834185409,0.4938116452722452,0.47338827400696787,0.6744133745053545,0.31689823319194416,0.5902005139071148,0.3988269047549193,0.4493645215487965,0.38888529657393334,0.34329370982490137,0.3982832276219221,0.5159679112916253,0.6401624968476939,0.646512786896295,0.4988233178303845,0.5083169370718048,0.4091015267593994,0.40181439004433933,0.38890335682975563,0.3645232588682243,0.512937094199852,0.501970284423807,0.5728419014290129,0.5465079493432411,0.6341150649977537,0.48096254196281285,0.30190757103480254,0.45732315422864095,0.30695262761671865,0.5615583894505436,0.4962446419250984,0.5831070409265982,0.4253974363947598,0.3402814192056875,0.3637565695473801,0.45286774422028014,0.37617101654588714,0.6518642632382037,0.528263762771547,0.5878693120006476,0.27838947748704224,0.49592010961970284,0.2429468037084621
2020,0.3708862516664528,0.4473815127615069,0.5015683167912931,0.3578756672201685,0.6490891136066756,0.5693831949230015,0.6019504908807785,0.5962674416498447,0.9446695384761944,0.48305245337858443,0.5011932966290864,0.6503266464651488,0.3412285707492213,0.5865904373280693,0.4180495199255704,0.4581673691536295,0.4250657174436865,0.36799897099737033,0.4053555954370895,0.5467040458200397,0.6702904704709234,0.6711554954014815,0.5141355934440947,0.5363951364856667,0.4161501417261114,0.4216417935559855,0.41602819907951893,0.40215947753398273,0.512231173400438,0.5374834772159505,0.5807128358679484,0.5551849015171975,0.6171683489301224,0.4931581746681328,0.3278259157710337,0.45923302352297285,0.3305996050309349,0.5830715698544173,0.5058920525934906,0.6059935988395926,0.44073391250417904,0.365652201383185,0.38172229627933646,0.4716927876322047,0.39306394878148365,0.6829918655280656,0.551546869993999,0.599255031847907,0.3020146768607797,0.5031906326653399,0.27519565624414905
