,state,spending,year,party,vote,demRatio
0,Alaska,333762.32,2008,Republican,3,0.389352150834029
1,Alabama,1325086.19,2008,Republican,9,0.3910909724642732
2,Arkansas,29328.83,2008,Republican,6,0.3982827938928274
3,Arizona,15497810.46,2008,Republican,10,0.4568609928038368
4,California,7326717.33,2008,Republican,55,0.622784495915854
5,Colorado,1012884.58,2008,Republican,9,0.5455063469317343
6,Connecticut,241202.73,2008,Republican,7,0.6131833824975418
7,District of Columbia,9719344.84,2008,Republican,3,0.9340076833341566
8,Delaware,6685.44,2008,Republican,3,0.6263813864988855
9,Florida,6077131.6,2008,Republican,27,0.514196600308993
10,Georgia,1941499.49,2008,Republican,15,0.4737166448918821
11,Hawaii,6673.29,2008,Republican,4,0.7299372587845542
12,Iowa,928022.99,2008,Republican,7,0.5484877778946735
13,Idaho,6016.7,2008,Republican,4,0.3697541019497945
14,Illinois,2465388.52,2008,Republican,21,0.6273426404455936
15,Indiana,2339128.69,2008,Republican,11,0.5052195344537809
16,Kansas,4259097.53,2008,Republican,6,0.4238772418109056
17,Kentucky,97544.14,2008,Republican,8,0.4176657241229539
18,Louisiana,190805.13,2008,Republican,9,0.4054282583841463
19,Massachusetts,1186072.73,2008,Republican,12,0.6319707821335295
20,Maryland,122532734.88,2008,Republican,10,0.6293008729288553
21,Maine,46608.04,2008,Republican,4,0.588295249834076
22,Michigan,2090265.71,2008,Republican,17,0.5837130157615452
23,Minnesota,5373211.44,2008,Republican,10,0.5522937499539273
24,Missouri,585104.72,2008,Republican,11,0.4993242085032335
25,Mississippi,416116.68,2008,Republican,6,0.4335806900713616
26,Montana,85926.95,2008,Republican,3,0.4883059671605927
27,North Carolina,1040013.98,2008,Republican,15,0.5016596330006732
28,North Dakota,2982.53,2008,Republican,3,0.4559134371803188
29,Nebraska,27059.45,2008,Republican,5,0.4239092557783436
30,New Hampshire,1456729.74,2008,Republican,4,0.548685411201095
31,New Jersey,2428653.75,2008,Republican,15,0.5786462987142394
32,New Mexico,2630770.35,2008,Republican,5,0.5766490001879759
33,Nevada,267749.44,2008,Republican,5,0.563867381251961
34,New York,7424207.69,2008,Republican,31,0.6576385737978426
35,Ohio,7507046.54,2008,Republican,20,0.5233384076225412
36,Oklahoma,177270.16,2008,Republican,7,0.343549188773065
37,Oregon,71501.61,2008,Republican,7,0.5841372117722718
38,Pennsylvania,5626315.08,2008,Republican,21,0.5522970381548445
39,Rhode Island,9441.4,2008,Republican,4,0.6419813750914577
40,South Carolina,1749206.18,2008,Republican,8,0.4545557081079087
41,South Dakota,22311.7,2008,Republican,3,0.4570429276588462
42,Tennessee,1013914.22,2008,Republican,11,0.4236852819764554
43,Texas,6906158.34,2008,Republican,34,0.4406406324905928
44,Utah,1171612.53,2008,Republican,5,0.3547363862725993
45,Virginia,59199833.83,2008,Republican,13,0.5318258440612755
46,Vermont,7991.809999999999,2008,Republican,3,0.688991817393381
47,Washington,200601.34,2008,Republican,11,0.5875202680210895
48,Wisconsin,986316.4,2008,Republican,10,0.5705567824781841
49,West Virginia,45468.42,2008,Republican,5,0.4332625623286275
50,Wyoming,4573.6,2008,Republican,3,0.3343797664490409
51,Alaska,92916.02,2008,Democrats,3,0.389352150834029
52,Alabama,2648177.33,2008,Democrats,9,0.3910909724642732
53,Arkansas,110195.2,2008,Democrats,6,0.3982827938928274
54,Arizona,1979372.1,2008,Democrats,10,0.4568609928038368
55,California,26787699.24,2008,Democrats,55,0.622784495915854
56,Colorado,7642991.89,2008,Democrats,9,0.5455063469317343
57,Connecticut,482765.63,2008,Democrats,7,0.6131833824975418
58,District of Columbia,23241779.31,2008,Democrats,3,0.9340076833341566
59,Delaware,407484.82,2008,Democrats,3,0.6263813864988855
60,Florida,9088254.3,2008,Democrats,27,0.514196600308993
61,Georgia,3966333.88,2008,Democrats,15,0.4737166448918821
62,Hawaii,182047.87,2008,Democrats,4,0.7299372587845542
63,Iowa,6052118.09,2008,Democrats,7,0.5484877778946735
64,Idaho,92883.54,2008,Democrats,4,0.3697541019497945
65,Illinois,70774196.87,2008,Democrats,21,0.6273426404455936
66,Indiana,1771112.43,2008,Democrats,11,0.5052195344537809
67,Kansas,327624.61,2008,Democrats,6,0.4238772418109056
68,Kentucky,460218.74,2008,Democrats,8,0.4176657241229539
69,Louisiana,1040101.92,2008,Democrats,9,0.4054282583841463
70,Massachusetts,309575567.7,2008,Democrats,12,0.6319707821335295
71,Maryland,11124092.7,2008,Democrats,10,0.6293008729288553
72,Maine,321886.43,2008,Democrats,4,0.588295249834076
73,Michigan,1932015.99,2008,Democrats,17,0.5837130157615452
74,Minnesota,9742488.84,2008,Democrats,10,0.5522937499539273
75,Missouri,52085157.32,2008,Democrats,11,0.4993242085032335
76,Mississippi,236484.01,2008,Democrats,6,0.4335806900713616
77,Montana,613676.58,2008,Democrats,3,0.4883059671605927
78,North Carolina,2860516.87,2008,Democrats,15,0.5016596330006732
79,North Dakota,26540.63,2008,Democrats,3,0.4559134371803188
80,Nebraska,747015.42,2008,Democrats,5,0.4239092557783436
81,New Hampshire,2835053.53,2008,Democrats,4,0.548685411201095
82,New Jersey,2378690.9,2008,Democrats,15,0.5786462987142394
83,New Mexico,565581.69,2008,Democrats,5,0.5766490001879759
84,Nevada,4261806.62,2008,Democrats,5,0.563867381251961
85,New York,10555919.55,2008,Democrats,31,0.6576385737978426
86,Ohio,15254355.52,2008,Democrats,20,0.5233384076225412
87,Oklahoma,796953.82,2008,Democrats,7,0.343549188773065
88,Oregon,1026685.57,2008,Democrats,7,0.5841372117722718
89,Pennsylvania,68442381.36,2008,Democrats,21,0.5522970381548445
90,Rhode Island,222622.55,2008,Democrats,4,0.6419813750914577
91,South Carolina,2974045.44,2008,Democrats,8,0.4545557081079087
92,South Dakota,395801.91,2008,Democrats,3,0.4570429276588462
93,Tennessee,795415.09,2008,Democrats,11,0.4236852819764554
94,Texas,5394619.88,2008,Democrats,34,0.4406406324905928
95,Utah,458870.85,2008,Democrats,5,0.3547363862725993
96,Virginia,9708353.57,2008,Democrats,13,0.5318258440612755
97,Vermont,145833.49,2008,Democrats,3,0.688991817393381
98,Washington,3428183.32,2008,Democrats,11,0.5875202680210895
99,Wisconsin,25559925.73,2008,Democrats,10,0.5705567824781841
100,West Virginia,217876.82,2008,Democrats,5,0.4332625623286275
101,Wyoming,86140.25,2008,Democrats,3,0.3343797664490409
102,Alaska,29378.6,2012,Democrats,3,0.4268470951843963
103,Alabama,167152.12,2012,Democrats,9,0.3878377146656229
104,Arkansas,151854.16,2012,Democrats,6,0.3784559464877038
105,Arizona,2155182.3,2012,Democrats,11,0.4538661977629681
106,California,22821582.45,2012,Democrats,55,0.6187281116329663
107,Colorado,4834439.14,2012,Democrats,9,0.5274798831420252
108,Connecticut,138050.36,2012,Democrats,7,0.587725774769071
109,District of Columbia,496601993.78,2012,Democrats,3,0.9258764920211752
110,Delaware,86186.16,2012,Democrats,3,0.5944695491927816
111,Florida,6524721.99,2012,Democrats,29,0.5044225213936623
112,Georgia,1756208.4,2012,Democrats,16,0.4604335090194327
113,Hawaii,65051.61,2012,Democrats,4,0.7170384850107442
114,Iowa,3223501.48,2012,Democrats,6,0.5295935192810017
115,Idaho,68487.6,2012,Democrats,4,0.3357861315642467
116,Illinois,60073114.71,2012,Democrats,20,0.585775233921169
117,Indiana,262018.92,2012,Democrats,11,0.447996254026727
118,Kansas,88819.9,2012,Democrats,6,0.3888667325474694
119,Kentucky,67142.18,2012,Democrats,8,0.3845722760619509
120,Louisiana,179877.23,2012,Democrats,8,0.4125317438588602
121,Massachusetts,5064283.72,2012,Democrats,11,0.6178568074906001
122,Maryland,3354372.49,2012,Democrats,10,0.6332172578690598
123,Maine,129775.96,2012,Democrats,4,0.5785992139357711
124,Michigan,862632.02,2012,Democrats,16,0.5480053207117788
125,Minnesota,1291099.6,2012,Democrats,10,0.5394122646169819
126,Missouri,13242984.12,2012,Democrats,10,0.4522133324662002
127,Mississippi,51760.36,2012,Democrats,6,0.4419810080121222
128,Montana,65980.92,2012,Democrats,3,0.4296576813611854
129,North Carolina,1724649.44,2012,Democrats,15,0.48965965096995
130,North Dakota,34902.94,2012,Democrats,3,0.3988879171108827
131,Nebraska,424792.01,2012,Democrats,5,0.3887060973177463
132,New Hampshire,610323.93,2012,Democrats,4,0.528337519782581
133,New Jersey,880235.8,2012,Democrats,14,0.5895196555058577
134,New Mexico,291690.64,2012,Democrats,5,0.5529520464690869
135,Nevada,1421950.06,2012,Democrats,6,0.5340754216334653
136,New York,6604421.48,2012,Democrats,29,0.6604269487027739
137,Ohio,4658679.86,2012,Democrats,18,0.5151405676924949
138,Oklahoma,728803.54,2012,Democrats,7,0.3322768025698344
139,Oregon,181087.24,2012,Democrats,7,0.5627116717874738
140,Pennsylvania,864628.86,2012,Democrats,20,0.5273193400189182
141,Rhode Island,2100650.44,2012,Democrats,4,0.6401674597888212
142,South Carolina,344508.73,2012,Democrats,9,0.4469174529543462
143,South Dakota,20792.31,2012,Democrats,3,0.4078150086180476
144,Tennessee,256819.39,2012,Democrats,11,0.3964892847370595
145,Texas,6747983.65,2012,Democrats,38,0.4199210278489361
146,Utah,156762.29,2012,Democrats,6,0.2537381110485252
147,Virginia,6240559.93,2012,Democrats,13,0.5196737668876448
148,Vermont,70355.06,2012,Democrats,3,0.6824725882639062
149,Washington,5300793.64,2012,Democrats,12,0.5762829827062185
150,Wisconsin,31451578.78,2012,Democrats,10,0.5346342998287241
151,West Virginia,9137.29,2012,Democrats,5,0.3632570236795726
152,Wyoming,58940.7,2012,Democrats,3,0.2883936598847857
153,Alaska,17502.579999999998,2012,Republican,3,0.4268470951843963
154,Alabama,54322.86,2012,Republican,9,0.3878377146656229
155,Arkansas,43612.05,2012,Republican,6,0.3784559464877038
156,Arizona,1379368.76,2012,Republican,11,0.4538661977629681
157,California,9326994.34,2012,Republican,55,0.6187281116329663
158,Colorado,496769.78,2012,Republican,9,0.5274798831420252
159,Connecticut,521099.23,2012,Republican,7,0.587725774769071
160,District of Columbia,1898725.55,2012,Republican,3,0.9258764920211752
161,Delaware,11012.19,2012,Republican,3,0.5944695491927816
162,Florida,12458401.96,2012,Republican,29,0.5044225213936623
163,Georgia,3121293.86,2012,Republican,16,0.4604335090194327
164,Hawaii,6249.5,2012,Republican,4,0.7170384850107442
165,Iowa,3235331.65,2012,Republican,6,0.5295935192810017
166,Idaho,54566.95,2012,Republican,4,0.3357861315642467
167,Illinois,3460487.02,2012,Republican,20,0.585775233921169
168,Indiana,73369.21,2012,Republican,11,0.447996254026727
169,Kansas,12062.34,2012,Republican,6,0.3888667325474694
170,Kentucky,222339.17,2012,Republican,8,0.3845722760619509
171,Louisiana,130499.87,2012,Republican,8,0.4125317438588602
172,Massachusetts,277235156.65,2012,Republican,11,0.6178568074906001
173,Maryland,3308407.13,2012,Republican,10,0.6332172578690598
174,Maine,21383.13,2012,Republican,4,0.5785992139357711
175,Michigan,718190.29,2012,Republican,16,0.5480053207117788
176,Minnesota,20441897.51,2012,Republican,10,0.5394122646169819
177,Missouri,14972092.15,2012,Republican,10,0.4522133324662002
178,Mississippi,16764.28,2012,Republican,6,0.4419810080121222
179,Montana,18237.87,2012,Republican,3,0.4296576813611854
180,North Carolina,257551.6,2012,Republican,15,0.48965965096995
181,North Dakota,2113.04,2012,Republican,3,0.3988879171108827
182,Nebraska,36092.65,2012,Republican,5,0.3887060973177463
183,New Hampshire,44012998.51,2012,Republican,4,0.528337519782581
184,New Jersey,2442734.73,2012,Republican,14,0.5895196555058577
185,New Mexico,599236.16,2012,Republican,5,0.5529520464690869
186,Nevada,1101001.04,2012,Republican,6,0.5340754216334653
187,New York,3200686.16,2012,Republican,29,0.6604269487027739
188,Ohio,1701169.22,2012,Republican,18,0.5151405676924949
189,Oklahoma,52413.31,2012,Republican,7,0.3322768025698344
190,Oregon,30921.22,2012,Republican,7,0.5627116717874738
191,Pennsylvania,2273804.15,2012,Republican,20,0.5273193400189182
192,Rhode Island,65295.63,2012,Republican,4,0.6401674597888212
193,South Carolina,446596.03,2012,Republican,9,0.4469174529543462
194,South Dakota,8491.45,2012,Republican,3,0.4078150086180476
195,Tennessee,2132452.87,2012,Republican,11,0.3964892847370595
196,Texas,6500932.84,2012,Republican,38,0.4199210278489361
197,Utah,452924.0,2012,Republican,6,0.2537381110485252
198,Virginia,37744218.72,2012,Republican,13,0.5196737668876448
199,Vermont,21691.72,2012,Republican,3,0.6824725882639062
200,Washington,789237.24,2012,Republican,12,0.5762829827062185
201,Wisconsin,639805.17,2012,Republican,10,0.5346342998287241
202,West Virginia,4828.77,2012,Republican,5,0.3632570236795726
203,Wyoming,7499.11,2012,Republican,3,0.2883936598847857
204,Alaska,26231.93,2016,Democrats,3,0.4161434528893193
205,Alabama,2593726.8000000003,2016,Democrats,9,0.3562585640603926
206,Arkansas,16330085.39,2016,Democrats,6,0.3571486231022953
207,Arizona,223297.48,2016,Democrats,11,0.4810997659896054
208,California,16484666.13,2016,Democrats,55,0.6612822054272989
209,Colorado,5041103.68,2016,Democrats,9,0.5268333337268244
210,Connecticut,11191768.11,2016,Democrats,7,0.5714154751726364
211,District of Columbia,353040899.81,2016,Democrats,3,0.9569518834185408
212,Delaware,54498.8,2016,Democrats,3,0.5599862144368122
213,Florida,12454571.84,2016,Democrats,29,0.4938116452722452
214,Georgia,2204171.56,2016,Democrats,16,0.4733882740069678
215,Hawaii,50931.01,2016,Democrats,4,0.6744133745053545
216,Iowa,3169482.79,2016,Democrats,6,0.4493645215487965
217,Idaho,27643.04,2016,Democrats,4,0.3168982331919441
218,Illinois,6558355.87,2016,Democrats,20,0.5902005139071148
219,Indiana,174010.59,2016,Democrats,11,0.3988269047549193
220,Kansas,64030.35,2016,Democrats,6,0.3888852965739333
221,Kentucky,116904.97,2016,Democrats,8,0.3432937098249013
222,Louisiana,67583.02,2016,Democrats,8,0.3982832276219221
223,Massachusetts,1127157.04,2016,Democrats,11,0.646512786896295
224,Maryland,1825508.71,2016,Democrats,10,0.6401624968476939
225,Maine,90613.08,2016,Democrats,4,0.5159679112916253
226,Michigan,551030.98,2016,Democrats,16,0.4988233178303845
227,Minnesota,674479.07,2016,Democrats,10,0.5083169370718048
228,Missouri,1028793.49,2016,Democrats,10,0.4018143900443393
229,Mississippi,85322.24,2016,Democrats,6,0.4091015267593994
230,Montana,15451.7,2016,Democrats,3,0.3889033568297556
231,North Carolina,535327.51,2016,Democrats,15,0.4809625419628128
232,North Dakota,5316.67,2016,Democrats,3,0.3019075710348025
233,Nebraska,75504.65,2016,Democrats,5,0.3645232588682243
234,New Hampshire,771982.37,2016,Democrats,4,0.501970284423807
235,New Jersey,30527066.51,2016,Democrats,14,0.5728419014290129
236,New Mexico,55245.8,2016,Democrats,5,0.5465079493432411
237,Nevada,1847185.99,2016,Democrats,6,0.512937094199852
238,New York,78235566.89,2016,Democrats,29,0.6341150649977537
239,Ohio,408732.27,2016,Democrats,18,0.4573231542286409
240,Oklahoma,232882.52,2016,Democrats,7,0.3069526276167186
241,Oregon,132120.41,2016,Democrats,7,0.5615583894505436
242,Pennsylvania,3550814.99,2016,Democrats,20,0.4962446419250984
243,Rhode Island,3491279.92,2016,Democrats,4,0.5831070409265982
244,South Carolina,761016.19,2016,Democrats,9,0.4253974363947598
245,South Dakota,29605.07,2016,Democrats,3,0.3402814192056875
246,Tennessee,402672.45,2016,Democrats,11,0.3637565695473801
247,Texas,5245322.74,2016,Democrats,38,0.4528677442202801
248,Utah,663167.17,2016,Democrats,6,0.3761710165458871
249,Virginia,7707699.38,2016,Democrats,13,0.528263762771547
250,Vermont,30345.11,2016,Democrats,3,0.6518642632382037
251,Washington,8416194.62,2016,Democrats,12,0.5878693120006476
252,Wisconsin,215077.77,2016,Democrats,10,0.4959201096197028
253,West Virginia,19930.38,2016,Democrats,5,0.2783894774870422
254,Wyoming,32859.22,2016,Democrats,3,0.2429468037084621
255,Alaska,20244.87,2016,Republican,3,0.4161434528893193
256,Alabama,480333.44,2016,Republican,9,0.3562585640603926
257,Arkansas,170702.77,2016,Republican,6,0.3571486231022953
258,Arizona,3390083.23,2016,Republican,11,0.4810997659896054
259,California,9120311.4,2016,Republican,55,0.6612822054272989
260,Colorado,2821458.1,2016,Republican,9,0.5268333337268244
261,Connecticut,1130803.43,2016,Republican,7,0.5714154751726364
262,District of Columbia,7095697.02,2016,Republican,3,0.9569518834185408
263,Delaware,277087.09,2016,Republican,3,0.5599862144368122
264,Florida,14985463.3,2016,Republican,29,0.4938116452722452
265,Georgia,2806733.65,2016,Republican,16,0.4733882740069678
266,Hawaii,15242.75,2016,Republican,4,0.6744133745053545
267,Iowa,2642951.56,2016,Republican,6,0.4493645215487965
268,Idaho,50818.39,2016,Republican,4,0.3168982331919441
269,Illinois,1345820.62,2016,Republican,20,0.5902005139071148
270,Indiana,1348388.66,2016,Republican,11,0.3988269047549193
271,Kansas,579340.71,2016,Republican,6,0.3888852965739333
272,Kentucky,857462.26,2016,Republican,8,0.3432937098249013
273,Louisiana,17121587.25,2016,Republican,8,0.3982832276219221
274,Massachusetts,2767791.09,2016,Republican,11,0.646512786896295
275,Maryland,467283.97,2016,Republican,10,0.6401624968476939
276,Maine,116729.71,2016,Republican,4,0.5159679112916253
277,Michigan,869749.73,2016,Republican,16,0.4988233178303845
278,Minnesota,91759.46,2016,Republican,10,0.5083169370718048
279,Missouri,9522826.14,2016,Republican,10,0.4018143900443393
280,Mississippi,380844.94,2016,Republican,6,0.4091015267593994
281,Montana,58173.08,2016,Republican,3,0.3889033568297556
282,North Carolina,1435016.94,2016,Republican,15,0.4809625419628128
283,North Dakota,15350.0,2016,Republican,3,0.3019075710348025
284,Nebraska,173529.48,2016,Republican,5,0.3645232588682243
285,New Hampshire,11576884.33,2016,Republican,4,0.501970284423807
286,New Jersey,19253807.78,2016,Republican,14,0.5728419014290129
287,New Mexico,183176.28,2016,Republican,5,0.5465079493432411
288,Nevada,1132280.13,2016,Republican,6,0.512937094199852
289,New York,26845432.58,2016,Republican,29,0.6341150649977537
290,Ohio,4373003.42,2016,Republican,18,0.4573231542286409
291,Oklahoma,445094.22,2016,Republican,7,0.3069526276167186
292,Oregon,242283.58,2016,Republican,7,0.5615583894505436
293,Pennsylvania,1586013.35,2016,Republican,20,0.4962446419250984
294,Rhode Island,102694.64,2016,Republican,4,0.5831070409265982
295,South Carolina,1441468.58,2016,Republican,9,0.4253974363947598
296,South Dakota,19498.55,2016,Republican,3,0.3402814192056875
297,Tennessee,992710.94,2016,Republican,11,0.3637565695473801
298,Texas,97271455.01,2016,Republican,38,0.4528677442202801
299,Utah,399495.17,2016,Republican,6,0.3761710165458871
300,Virginia,110657185.24,2016,Republican,13,0.528263762771547
301,Vermont,81467.59,2016,Republican,3,0.6518642632382037
302,Washington,1087024.67,2016,Republican,12,0.5878693120006476
303,Wisconsin,964820.58,2016,Republican,10,0.4959201096197028
304,West Virginia,91403.33,2016,Republican,5,0.2783894774870422
305,Wyoming,150833.0,2016,Republican,3,0.2429468037084621
306,Alaska,15301.5,2020,Democrats,3,0.4473815127615069
307,Alabama,1658810.99,2020,Democrats,9,0.3708862516664528
308,Arkansas,216567.06,2020,Democrats,6,0.3578756672201685
309,Arizona,668031.85,2020,Democrats,11,0.5015683167912931
310,California,66818375.85,2020,Democrats,55,0.6490891136066756
311,Colorado,668041.28,2020,Democrats,9,0.5693831949230015
312,Connecticut,430018.57,2020,Democrats,7,0.6019504908807785
313,District of Columbia,263845275.51,2020,Democrats,3,0.9446695384761944
314,Delaware,2469029.93,2020,Democrats,3,0.5962674416498447
315,Florida,4321911.25,2020,Democrats,29,0.4830524533785844
316,Georgia,449489624.19,2020,Democrats,16,0.5011932966290864
317,Hawaii,5046.73,2020,Democrats,4,0.6503266464651488
318,Iowa,7531029.79,2020,Democrats,6,0.4581673691536295
319,Idaho,17302.51,2020,Democrats,4,0.3412285707492213
320,Illinois,6854206.24,2020,Democrats,20,0.5865904373280693
321,Indiana,958746.14,2020,Democrats,11,0.4180495199255704
322,Kansas,15300.0,2020,Democrats,6,0.4250657174436865
323,Kentucky,14833.32,2020,Democrats,8,0.3679989709973703
324,Louisiana,420475.33,2020,Democrats,8,0.4053555954370895
325,Massachusetts,30291335.54,2020,Democrats,11,0.6711554954014815
326,Maryland,3017389.27,2020,Democrats,10,0.6702904704709234
327,Maine,254401.09,2020,Democrats,4,0.5467040458200397
328,Michigan,1037411.78,2020,Democrats,16,0.5141355934440947
329,Minnesota,464192.0,2020,Democrats,10,0.5363951364856667
330,Missouri,249538.34,2020,Democrats,10,0.4216417935559855
331,Mississippi,12207.25,2020,Democrats,6,0.4161501417261114
332,Montana,67750.93,2020,Democrats,3,0.4160281990795189
333,North Carolina,1289090.56,2020,Democrats,15,0.4931581746681328
334,North Dakota,2969.5,2020,Democrats,3,0.3278259157710337
335,Nebraska,19182276.14,2020,Democrats,5,0.4021594775339827
336,New Hampshire,1441845.51,2020,Democrats,4,0.5374834772159505
337,New Jersey,1998474.14,2020,Democrats,14,0.5807128358679484
338,New Mexico,12625.88,2020,Democrats,5,0.5551849015171975
339,Nevada,2049630.42,2020,Democrats,6,0.512231173400438
340,New York,80594168.68,2020,Democrats,29,0.6171683489301224
341,Ohio,778000.66,2020,Democrats,18,0.4592330235229728
342,Oklahoma,663997.45,2020,Democrats,7,0.3305996050309349
343,Oregon,463166.73,2020,Democrats,7,0.5830715698544173
344,Pennsylvania,45826922.24,2020,Democrats,20,0.5058920525934906
345,Rhode Island,2090523.53,2020,Democrats,4,0.6059935988395926
346,South Carolina,1002231.01,2020,Democrats,9,0.440733912504179
347,South Dakota,2557.33,2020,Democrats,3,0.365652201383185
348,Tennessee,1038701.46,2020,Democrats,11,0.3817222962793364
349,Texas,26176682.5,2020,Democrats,38,0.4716927876322047
350,Utah,274744.33,2020,Democrats,6,0.3930639487814836
351,Virginia,26775673.4,2020,Democrats,13,0.551546869993999
352,Vermont,3704.44,2020,Democrats,3,0.6829918655280656
353,Washington,3130644.34,2020,Democrats,12,0.599255031847907
354,Wisconsin,1650488.79,2020,Democrats,10,0.5031906326653399
355,West Virginia,2500.0,2020,Democrats,5,0.3020146768607797
356,Wyoming,2500.0,2020,Democrats,3,0.275195656244149
357,Alaska,594.67,2020,Republican,3,0.4473815127615069
358,Alabama,147480.69,2020,Republican,9,0.3708862516664528
359,Arkansas,34715.47,2020,Republican,6,0.3578756672201685
360,Arizona,2195320.45,2020,Republican,11,0.5015683167912931
361,California,10973015.67,2020,Republican,55,0.6490891136066756
362,Colorado,226240.09,2020,Republican,9,0.5693831949230015
363,Connecticut,642718.96,2020,Republican,7,0.6019504908807785
364,District of Columbia,29514693.56,2020,Republican,3,0.9446695384761944
365,Delaware,985946.13,2020,Republican,3,0.5962674416498447
366,Florida,14043506.3,2020,Republican,29,0.4830524533785844
367,Georgia,4369447.65,2020,Republican,16,0.5011932966290864
368,Hawaii,10000.0,2020,Republican,4,0.6503266464651488
369,Iowa,1324572.38,2020,Republican,6,0.4581673691536295
370,Idaho,104137.85,2020,Republican,4,0.3412285707492213
371,Illinois,2552951.31,2020,Republican,20,0.5865904373280693
372,Indiana,457027.13,2020,Republican,11,0.4180495199255704
373,Kansas,86660.31,2020,Republican,6,0.4250657174436865
374,Kentucky,247978.62,2020,Republican,8,0.3679989709973703
375,Louisiana,16797493.67,2020,Republican,8,0.4053555954370895
376,Massachusetts,9229807.22,2020,Republican,11,0.6711554954014815
377,Maryland,2121216.23,2020,Republican,10,0.6702904704709234
378,Maine,26738.76,2020,Republican,4,0.5467040458200397
379,Michigan,730124.42,2020,Republican,16,0.5141355934440947
380,Minnesota,2710405.18,2020,Republican,10,0.5363951364856667
381,Missouri,1236800.68,2020,Republican,10,0.4216417935559855
382,Mississippi,305215.42,2020,Republican,6,0.4161501417261114
383,Montana,405036.78,2020,Republican,3,0.4160281990795189
384,North Carolina,1004485.67,2020,Republican,15,0.4931581746681328
385,North Dakota,80168.41,2020,Republican,3,0.3278259157710337
386,Nebraska,55700.03,2020,Republican,5,0.4021594775339827
387,New Hampshire,12463179.25,2020,Republican,4,0.5374834772159505
388,New Jersey,14040226.97,2020,Republican,14,0.5807128358679484
389,New Mexico,25668.57,2020,Republican,5,0.5551849015171975
390,Nevada,928312.35,2020,Republican,6,0.512231173400438
391,New York,47304142.05,2020,Republican,29,0.6171683489301224
392,Ohio,3582451.12,2020,Republican,18,0.4592330235229728
393,Oklahoma,708437.8099999999,2020,Republican,7,0.3305996050309349
394,Oregon,10902.78,2020,Republican,7,0.5830715698544173
395,Pennsylvania,9090866.88,2020,Republican,20,0.5058920525934906
396,Rhode Island,16443.84,2020,Republican,4,0.6059935988395926
397,South Carolina,1753872.06,2020,Republican,9,0.440733912504179
398,South Dakota,212.59,2020,Republican,3,0.365652201383185
399,Tennessee,2203093.29,2020,Republican,11,0.3817222962793364
400,Texas,22257814.33,2020,Republican,38,0.4716927876322047
401,Utah,497585.52,2020,Republican,6,0.3930639487814836
402,Virginia,555712208.55,2020,Republican,13,0.551546869993999
403,Vermont,2300.0,2020,Republican,3,0.6829918655280656
404,Washington,990269.5,2020,Republican,12,0.599255031847907
405,Wisconsin,2937454.76,2020,Republican,10,0.5031906326653399
406,West Virginia,154823.03999999998,2020,Republican,5,0.3020146768607797
407,Wyoming,29361.84,2020,Republican,3,0.275195656244149
